id_transaction,date,categorie,prix_unitaire,quantite,age_client,sexe_client,ville,canal_acquisition,note_produit,temps_sur_page_sec,saison,montant_total,panier_moyen,est_client_fidele
29,2024-12-24,Maison,177.7,3,28,M,Lille,Instagram,3.9,84,Printemps,519.02,448.48,1
30,2024-12-26,Électronique,678.76,1,18,F,Nice,Facebook,3.6,160,Printemps,716.01,616.76,1
31,2024-12-31,Mode,33.02,1,32,M,Marseille,Instagram,4.0,180,Printemps,34.69,30.45,0
32,2024-12-31,Mode,128.52,2,47,M,Paris,Google_Ads,5.0,131,Printemps,256.18,250.42,0
33,2024-12-31,Maison,218.01,4,30,M,Bordeaux,SEO,5.0,185,Printemps,855.36,754.84,1
34,2024-12-31,Maison,221.12,1,35,M,Marseille,Facebook,2.5,72,Printemps,206.99,186.96,0
35,2024-12-31,Électronique,669.99,3,40,F,Lille,Instagram,4.9,69,Printemps,1921.04,1797.92,1
36,2024-12-31,Mode,66.12,4,22,M,Marseille,Instagram,5.0,107,Printemps,255.93,237.18,0
37,2024-12-31,Maison,220.86,1,42,F,Toulouse,Facebook,3.6,102,Printemps,234.67,222.91,0
38,2024-12-31,Livres,16.87,3,54,M,Marseille,Facebook,4.4,120,Printemps,51.15,44.97,0
39,2024-12-31,Maison,161.29,2,32,M,Lyon,Direct,4.3,96,Printemps,303.28,281.63,0
40,2024-12-31,Livres,11.69,1,21,M,Marseille,Google_Ads,2.9,85,Printemps,10.75,10.37,0
41,2024-12-31,Sport,160.05,1,34,M,Nice,Google_Ads,3.4,137,Printemps,159.94,145.25,0
42,2024-12-31,Maison,85.34,1,18,F,Paris,Facebook,4.6,60,Printemps,88.18,87.81,0
43,2024-12-31,Électronique,376.81,2,39,M,Lille,Instagram,3.3,98,Printemps,801.67,750.92,1
44,2024-12-31,Maison,160.46,2,40,F,Nantes,SEO,4.9,130,Printemps,340.01,323.43,1
45,2024-12-31,Maison,197.54,5,55,M,Lyon,Instagram,5.0,72,Printemps,1051.72,966.38,1
46,2024-12-31,Maison,171.48,3,32,M,Nantes,Google_Ads,5.0,86,Printemps,509.08,498.23,0
47,2024-12-31,Mode,55.13,3,39,F,Marseille,Instagram,5.0,239,Printemps,177.5,162.89,1
48,2024-12-31,Mode,32.59,1,24,F,Toulouse,Facebook,3.7,99,Printemps,32.23,31.95,0
49,2024-12-31,Mode,106.32,1,30,F,Bordeaux,Instagram,4.0,356,Printemps,99.26,88.95,1
50,2024-12-31,Mode,128.56,1,18,M,Paris,Instagram,4.2,99,Printemps,125.92,123.38,0
51,2024-12-31,Électronique,771.69,1,32,F,Paris,SEO,3.7,145,Printemps,747.0,706.59,1
52,2024-12-31,Sport,101.18,5,31,M,Toulouse,Facebook,4.4,42,Printemps,494.97,480.05,1
53,2024-12-31,Électronique,835.04,2,38,M,Paris,Instagram,1.9,26,Printemps,1723.07,1474.35,1
54,2024-12-31,Électronique,501.65,1,27,F,Toulouse,Facebook,4.0,53,Printemps,517.39,461.3,0
55,2024-12-31,Mode,83.68,1,36,F,Lyon,Facebook,2.3,136,Printemps,79.08,77.26,1
56,2024-12-31,Maison,145.88,2,30,M,Toulouse,Google_Ads,2.7,70,Printemps,281.03,252.29,0
57,2024-12-31,Mode,76.14,3,31,F,Nice,Google_Ads,4.6,42,Printemps,232.79,222.75,0
58,2024-12-31,Mode,108.08,4,35,M,Toulouse,Google_Ads,3.6,93,Printemps,396.37,395.9,1
59,2024-12-31,Maison,154.82,2,35,F,Marseille,Facebook,4.6,160,Printemps,321.32,281.66,1
60,2024-12-31,Mode,63.38,2,44,F,Paris,Instagram,3.6,54,Printemps,118.62,108.26,0
61,2024-12-31,Livres,15.97,7,33,M,Marseille,Email,5.0,171,Printemps,119.63,104.65,0
62,2024-12-31,Livres,10.02,5,30,F,Bordeaux,SEO,3.5,43,Printemps,49.11,42.88,0
63,2024-12-31,Mode,89.36,2,32,M,Toulouse,SEO,1.6,116,Printemps,168.74,159.46,0
64,2024-12-31,Mode,54.92,3,26,M,Marseille,Instagram,4.0,63,Printemps,170.29,149.64,0
65,2024-12-31,Maison,86.66,1,30,F,Nantes,Facebook,1.4,144,Printemps,87.6,80.8,0
66,2024-12-31,Électronique,666.34,1,59,F,Marseille,SEO,2.2,177,Printemps,622.62,620.55,1
67,2024-12-31,Mode,98.92,3,24,F,Marseille,Google_Ads,2.8,104,Printemps,316.17,284.54,1
68,2024-12-31,Mode,105.84,2,31,F,Toulouse,Facebook,2.7,58,Printemps,209.69,205.72,0
69,2024-12-31,Livres,22.6,2,30,M,Nice,Facebook,3.2,341,Printemps,42.05,38.24,1
70,2024-12-31,Électronique,828.49,1,32,M,Lille,Instagram,2.7,54,Printemps,877.56,780.53,1
71,2024-12-31,Maison,228.54,1,31,F,Nantes,Facebook,2.3,193,Printemps,211.79,190.7,1
72,2024-12-31,Maison,205.33,1,38,F,Lyon,SEO,5.0,305,Printemps,224.55,195.17,1
73,2024-12-31,Mode,94.47,2,18,F,Toulouse,SEO,3.1,110,Printemps,186.74,177.75,1
74,2024-12-31,Électronique,430.01,1,47,F,Marseille,Instagram,1.3,37,Printemps,449.64,416.52,1
75,2024-12-31,Livres,35.54,2,42,M,Paris,Google_Ads,3.4,107,Printemps,70.4,66.32,0
76,2024-12-31,Mode,59.23,1,20,F,Toulouse,Facebook,2.6,267,Printemps,55.53,49.72,1
77,2024-12-31,Maison,96.48,1,18,F,Nice,Facebook,2.8,59,Printemps,101.46,96.18,0
78,2024-12-31,Électronique,523.45,6,23,F,Lille,Facebook,4.6,95,Printemps,3008.41,2631.43,1
79,2024-12-31,Mode,38.04,1,32,M,Marseille,Facebook,3.3,28,Printemps,39.43,37.37,0
80,2024-12-31,Mode,127.9,2,65,F,Lille,Instagram,2.5,78,Printemps,243.39,209.85,0
81,2024-12-31,Électronique,622.19,1,41,M,Lyon,SEO,4.3,141,Printemps,589.98,536.9,1
82,2024-12-31,Électronique,600.94,4,18,F,Toulouse,Email,5.0,58,Printemps,2383.31,2243.8,1
83,2024-12-31,Sport,126.11,1,26,M,Lille,Facebook,4.4,231,Printemps,134.09,131.18,1
84,2024-12-31,Électronique,560.49,1,34,M,Paris,Google_Ads,1.1,31,Printemps,573.23,557.1,1
85,2024-12-31,Électronique,246.64,1,38,F,Marseille,Facebook,2.6,58,Printemps,225.17,209.19,0
86,2024-12-31,Mode,92.2,1,19,M,Paris,Google_Ads,3.9,197,Printemps,96.51,94.82,0
87,2024-12-31,Sport,133.81,2,33,M,Toulouse,Facebook,3.5,82,Printemps,271.89,251.74,0
88,2024-12-31,Électronique,506.31,1,26,F,Toulouse,SEO,3.4,239,Printemps,518.82,481.24,1
89,2024-12-31,Maison,196.31,1,21,F,Nice,Email,2.7,30,Printemps,190.56,182.58,0
90,2024-12-31,Électronique,378.23,2,38,M,Bordeaux,Instagram,2.3,64,Printemps,764.95,750.92,1
91,2024-12-31,Électronique,374.36,2,44,M,Lille,SEO,5.0,126,Printemps,729.54,686.06,1
92,2024-12-31,Électronique,333.96,2,45,M,Lille,SEO,3.8,294,Printemps,612.01,606.89,1
93,2024-12-31,Sport,89.93,1,41,M,Lille,Google_Ads,4.5,107,Printemps,96.12,85.06,0
94,2024-12-31,Électronique,796.73,1,29,M,Nantes,Google_Ads,3.8,129,Printemps,825.1,815.73,1
95,2024-12-31,Électronique,783.84,2,43,M,Toulouse,Google_Ads,3.9,93,Printemps,1621.12,1431.85,1
96,2024-12-31,Mode,69.83,1,38,M,Toulouse,Email,3.7,86,Printemps,65.55,60.89,0
97,2024-12-31,Sport,117.61,1,36,F,Lyon,Instagram,2.6,58,Printemps,121.46,117.74,0
98,2024-12-31,Mode,102.78,1,27,M,Nantes,Facebook,2.1,101,Printemps,97.27,94.38,0
99,2024-12-31,Mode,56.02,3,29,F,Paris,Facebook,4.2,82,Printemps,174.36,155.48,0
100,2024-12-31,Électronique,338.5,3,35,F,Toulouse,Direct,4.0,136,Printemps,981.68,979.6,1
101,2024-12-31,Mode,127.28,2,64,M,Bordeaux,Instagram,4.8,109,Printemps,237.12,204.42,1
102,2024-12-31,Maison,171.16,2,38,F,Nice,Direct,4.6,80,Printemps,370.14,316.55,0
103,2024-12-31,Maison,236.65,2,27,F,Lyon,SEO,2.9,202,Printemps,435.89,425.52,1
104,2024-12-31,Mode,65.43,1,25,F,Lyon,Google_Ads,5.0,68,Printemps,68.86,66.99,1
105,2024-12-31,Mode,101.05,2,29,M,Marseille,Facebook,4.6,71,Printemps,186.0,177.98,0
106,2024-12-31,Électronique,375.26,3,61,M,Toulouse,Google_Ads,4.6,30,Printemps,1167.36,1141.23,1
107,2024-12-31,Mode,57.97,7,30,M,Bordeaux,SEO,5.0,90,Printemps,374.15,325.75,0
108,2024-12-31,Électronique,570.53,2,45,F,Toulouse,SEO,5.0,234,Printemps,1143.08,988.03,1
109,2024-12-31,Sport,83.25,2,30,F,Lille,SEO,4.6,230,Printemps,156.11,155.4,1
110,2024-12-31,Livres,13.53,1,38,F,Nantes,Facebook,4.4,74,Printemps,14.52,13.7,0
111,2024-12-31,Livres,16.1,2,44,F,Nice,Facebook,5.0,141,Printemps,31.56,31.18,1
112,2024-12-31,Sport,47.06,4,28,F,Nice,Email,3.2,136,Printemps,169.99,167.6,0
113,2024-12-31,Maison,186.8,1,27,F,Lille,Facebook,3.2,38,Printemps,191.58,181.62,1
114,2024-12-31,Maison,148.58,4,54,F,Toulouse,SEO,4.5,192,Printemps,587.8,555.05,1
115,2024-12-31,Mode,41.69,1,46,F,Marseille,Instagram,2.9,40,Printemps,44.69,40.4,0
116,2024-12-31,Maison,90.9,2,44,M,Nantes,SEO,4.5,78,Printemps,179.38,156.48,0
117,2024-12-31,Mode,42.5,1,44,M,Lille,Google_Ads,4.0,50,Printemps,41.74,39.78,0
118,2024-12-31,Mode,92.23,2,40,M,Nice,Google_Ads,2.9,103,Printemps,182.76,177.77,0
119,2024-12-31,Sport,54.51,1,59,M,Paris,Direct,3.8,57,Printemps,58.44,54.44,0
120,2024-12-31,Mode,106.04,1,35,F,Nice,Instagram,5.0,72,Printemps,107.88,92.52,0
121,2024-12-31,Mode,34.5,2,41,M,Lille,SEO,3.9,161,Printemps,71.34,62.19,0
122,2024-12-31,Livres,15.73,2,18,F,Toulouse,Instagram,3.9,70,Printemps,32.85,28.43,0
123,2024-12-31,Électronique,826.2,2,25,M,Nice,Facebook,4.2,96,Printemps,1796.99,1704.76,1
124,2024-12-31,Mode,102.56,2,20,M,Nantes,Direct,4.3,45,Printemps,218.96,204.67,0
125,2024-12-31,Livres,10.97,1,50,M,Paris,SEO,3.4,36,Printemps,11.91,10.95,0
126,2024-12-31,Maison,207.8,2,18,M,Marseille,SEO,4.2,107,Printemps,402.58,375.01,0
127,2024-12-31,Mode,80.57,2,30,M,Nice,Google_Ads,2.6,60,Printemps,151.95,135.45,0
128,2024-12-31,Électronique,796.58,1,18,M,Marseille,Google_Ads,2.9,223,Printemps,749.32,727.38,1
129,2024-12-31,Mode,91.07,2,25,F,Paris,Instagram,3.1,292,Printemps,195.18,175.52,0
130,2024-12-31,Sport,129.43,3,29,M,Nantes,Google_Ads,4.3,47,Printemps,413.97,391.89,0
131,2024-12-31,Maison,238.83,4,51,F,Nantes,SEO,4.0,38,Printemps,984.06,894.15,1
132,2024-12-31,Mode,55.15,1,39,M,Lille,Email,3.7,244,Printemps,50.33,43.33,0
133,2024-12-31,Électronique,646.16,5,25,F,Nice,Instagram,4.6,131,Printemps,3113.25,2766.25,1
134,2024-12-31,Électronique,535.72,4,47,F,Marseille,SEO,4.2,106,Printemps,2243.24,2231.5,1
135,2024-12-31,Livres,10.07,2,35,M,Marseille,Instagram,3.5,38,Printemps,19.12,16.8,0
136,2024-12-31,Mode,33.91,1,35,F,Nice,SEO,2.7,267,Printemps,34.75,30.09,0
137,2024-12-31,Maison,81.46,3,20,M,Paris,Facebook,2.9,51,Printemps,246.47,220.27,0
138,2024-12-31,Électronique,663.14,1,23,F,Marseille,Google_Ads,2.2,125,Printemps,631.66,620.09,1
139,2024-12-31,Maison,162.09,2,25,M,Toulouse,Facebook,4.0,145,Printemps,352.34,315.66,0
140,2024-12-31,Livres,23.94,1,35,M,Lille,Google_Ads,2.9,33,Printemps,22.78,20.79,0
141,2024-12-31,Maison,65.73,1,35,M,Marseille,Instagram,3.3,59,Printemps,70.92,63.58,0
142,2024-12-31,Électronique,541.78,3,53,F,Nice,SEO,3.7,41,Printemps,1638.64,1635.93,1
143,2024-12-31,Maison,226.43,1,39,F,Nice,Direct,4.9,33,Printemps,207.95,207.94,0
144,2024-12-31,Sport,93.19,1,18,M,Paris,Google_Ads,4.8,89,Printemps,99.41,91.7,0
145,2024-12-31,Mode,93.43,1,38,F,Lille,SEO,3.7,43,Printemps,98.88,95.68,0
146,2024-12-31,Sport,141.93,2,18,F,Bordeaux,Instagram,5.0,62,Printemps,302.64,267.24,0
147,2024-12-31,Maison,201.11,2,23,M,Paris,Facebook,1.6,31,Printemps,413.33,374.53,0
148,2024-12-31,Sport,108.71,4,25,F,Nice,SEO,5.0,83,Printemps,453.24,431.44,1
149,2024-12-31,Maison,214.43,3,27,F,Bordeaux,Facebook,4.6,260,Printemps,695.67,621.19,1
150,2024-12-31,Électronique,489.18,1,18,F,Nice,Facebook,3.9,113,Printemps,452.76,400.1,0
151,2024-12-31,Mode,119.15,1,37,F,Marseille,Instagram,2.8,60,Printemps,109.21,107.94,0
152,2024-12-31,Électronique,387.15,3,18,M,Lille,SEO,3.3,84,Printemps,1074.37,952.58,1
153,2024-12-31,Livres,16.57,1,39,F,Marseille,Google_Ads,4.5,113,Printemps,17.79,15.28,0
154,2024-12-31,Sport,49.27,1,61,M,Lille,Instagram,4.5,115,Printemps,49.89,48.03,0
155,2024-12-31,Maison,203.2,5,19,F,Lyon,Instagram,4.5,82,Printemps,950.2,842.34,1
156,2024-12-31,Mode,73.16,1,31,F,Marseille,Google_Ads,3.0,55,Printemps,67.92,62.32,0
157,2024-12-31,Électronique,379.65,1,18,M,Marseille,Google_Ads,2.8,133,Printemps,375.51,325.47,1
158,2024-12-31,Sport,72.05,3,31,F,Marseille,Instagram,4.0,48,Printemps,229.81,197.7,0
159,2024-12-31,Mode,120.39,2,42,M,Nantes,Email,4.6,159,Printemps,255.47,234.79,1
160,2024-12-31,Électronique,787.89,2,43,M,Paris,Google_Ads,3.8,70,Printemps,1686.49,1518.79,1
161,2024-12-31,Maison,159.64,4,35,F,Nantes,Instagram,5.0,202,Printemps,672.89,623.02,1
162,2024-12-31,Électronique,640.87,4,45,M,Lille,Instagram,3.8,51,Printemps,2338.74,2326.74,1
163,2024-12-31,Mode,78.75,1,65,F,Lille,Google_Ads,3.8,50,Printemps,82.21,74.91,0
164,2024-12-31,Mode,70.69,1,55,F,Lille,Instagram,4.5,101,Printemps,70.96,66.73,0
165,2024-12-31,Électronique,842.95,4,28,F,Paris,Facebook,5.0,62,Printemps,3524.47,3047.4,1
166,2024-12-31,Livres,12.39,1,18,M,Lille,Google_Ads,2.3,214,Printemps,12.35,12.14,0
167,2024-12-31,Électronique,507.45,1,30,F,Nantes,Facebook,2.6,54,Printemps,505.78,491.05,0
168,2024-12-31,Électronique,457.58,1,23,M,Toulouse,Facebook,3.5,51,Printemps,423.36,393.04,1
169,2024-12-31,Électronique,561.25,1,40,M,Nantes,Facebook,5.0,132,Printemps,606.74,532.42,1
170,2024-12-31,Sport,100.85,1,20,F,Toulouse,SEO,3.5,26,Printemps,98.32,89.85,0
171,2024-12-31,Mode,83.09,5,34,F,Marseille,Instagram,3.7,256,Printemps,422.3,377.8,1
172,2024-12-31,Maison,85.19,2,45,M,Bordeaux,Facebook,4.5,141,Printemps,160.39,160.26,0
173,2024-12-31,Électronique,571.37,2,33,M,Toulouse,Google_Ads,4.9,118,Printemps,1112.78,1027.79,1
174,2024-12-31,Électronique,388.63,1,23,F,Lyon,Google_Ads,4.0,59,Printemps,417.44,381.26,1
175,2024-12-31,Mode,50.47,6,49,M,Nice,Instagram,5.0,94,Printemps,285.25,249.69,1
176,2024-12-31,Sport,50.77,1,18,F,Lille,Direct,2.5,55,Printemps,47.78,42.33,0
177,2024-12-31,Sport,139.74,3,31,M,Paris,SEO,3.0,64,Printemps,399.13,381.87,0
178,2024-12-31,Électronique,513.52,3,34,M,Toulouse,Instagram,5.0,173,Printemps,1563.57,1454.49,1
179,2024-12-31,Mode,93.6,2,35,M,Paris,Instagram,3.8,114,Printemps,187.97,169.87,0
180,2024-12-31,Livres,28.65,1,37,M,Lille,Instagram,2.4,64,Printemps,26.78,23.96,1
181,2024-12-31,Mode,98.73,1,42,M,Bordeaux,Facebook,2.3,30,Printemps,102.52,90.23,0
182,2024-12-31,Sport,102.49,3,34,M,Nantes,SEO,2.9,296,Printemps,332.53,284.34,1
183,2024-12-31,Électronique,486.83,1,30,M,Lille,SEO,3.8,157,Printemps,457.51,455.94,1
184,2024-12-31,Livres,19.15,1,30,F,Paris,Instagram,4.3,64,Printemps,19.81,19.08,0
185,2024-12-31,Sport,124.11,2,27,M,Lyon,Google_Ads,3.4,98,Printemps,252.5,249.77,0
186,2024-12-31,Livres,22.36,1,44,F,Bordeaux,Email,4.2,55,Printemps,21.59,19.69,0
187,2024-12-31,Maison,212.84,1,27,F,Nice,Google_Ads,3.3,57,Printemps,217.86,213.59,0
188,2024-12-31,Mode,117.78,1,45,F,Lille,SEO,5.0,63,Printemps,110.95,98.57,0
189,2024-12-31,Livres,13.61,4,35,F,Toulouse,Facebook,5.0,108,Printemps,58.06,53.79,0
190,2024-12-31,Mode,45.78,1,28,F,Lyon,SEO,3.4,56,Printemps,41.41,36.45,0
191,2024-12-31,Mode,93.96,4,42,M,Nice,Instagram,4.3,99,Printemps,380.9,367.78,1
192,2024-12-31,Maison,114.22,3,26,F,Lille,Google_Ads,4.2,203,Printemps,330.24,305.36,1
193,2024-12-31,Sport,44.87,2,42,M,Bordeaux,Facebook,4.0,46,Printemps,96.58,89.86,0
194,2024-12-31,Livres,32.99,2,37,F,Paris,SEO,4.5,49,Printemps,65.98,64.59,0
195,2024-12-31,Électronique,378.16,1,27,F,Nantes,Instagram,4.3,234,Printemps,401.04,385.35,1
196,2024-12-31,Sport,160.98,3,41,F,Toulouse,SEO,3.3,128,Printemps,523.89,521.24,1
197,2024-12-31,Maison,189.14,2,41,F,Nantes,Instagram,5.0,101,Printemps,365.74,333.12,0
198,2024-12-31,Électronique,739.79,2,48,M,Bordeaux,Facebook,4.0,39,Printemps,1592.13,1463.52,1
199,2024-12-31,Mode,52.14,1,46,M,Nice,Instagram,3.4,34,Printemps,54.5,51.36,0
200,2024-12-31,Mode,55.33,3,40,F,Nice,Email,5.0,58,Printemps,152.99,140.45,0
201,2024-12-31,Mode,83.32,3,21,F,Marseille,Facebook,3.7,98,Printemps,230.17,210.13,0
202,2024-12-31,Livres,13.65,1,64,M,Nantes,Google_Ads,4.1,169,Printemps,14.51,13.08,0
203,2024-12-31,Maison,114.98,1,18,F,Lille,Google_Ads,4.0,99,Printemps,114.25,111.37,0
204,2024-12-31,Maison,117.86,1,46,F,Lyon,Google_Ads,3.7,100,Printemps,117.75,109.51,0
205,2024-12-31,Livres,13.31,1,40,M,Lyon,Facebook,4.3,186,Printemps,14.35,13.51,0
206,2024-12-31,Mode,52.51,3,20,F,Toulouse,SEO,2.9,108,Printemps,170.24,149.91,0
207,2024-12-31,Sport,143.04,4,33,M,Nantes,Facebook,4.5,70,Printemps,527.84,468.6,1
208,2024-12-31,Mode,48.8,1,34,M,Bordeaux,Instagram,1.9,72,Printemps,47.57,42.86,0
209,2024-12-31,Sport,46.13,1,50,F,Toulouse,SEO,2.4,145,Printemps,49.77,45.78,0
210,2024-12-31,Électronique,649.81,1,26,F,Bordeaux,Instagram,5.0,118,Printemps,691.38,592.23,1
211,2024-12-31,Livres,35.35,2,31,M,Bordeaux,Google_Ads,2.4,205,Printemps,73.83,72.59,0
212,2024-12-31,Électronique,448.57,2,18,F,Lyon,Direct,1.6,46,Printemps,825.72,813.79,1
213,2024-12-31,Mode,44.07,2,55,M,Paris,Instagram,2.4,42,Printemps,90.27,85.69,0
214,2024-12-31,Sport,115.22,2,22,M,Lyon,Facebook,5.0,124,Printemps,234.22,210.19,0
215,2024-12-31,Mode,120.87,1,38,F,Paris,Email,1.8,78,Printemps,112.82,102.42,1
216,2024-12-31,Maison,201.13,1,33,M,Toulouse,Instagram,2.7,41,Printemps,212.15,203.68,1
217,2024-12-31,Mode,93.2,1,33,F,Toulouse,SEO,2.2,53,Printemps,89.69,80.09,0
218,2024-12-31,Maison,116.71,1,44,F,Toulouse,Instagram,3.5,192,Printemps,119.53,112.51,0
219,2024-12-31,Électronique,590.77,1,55,M,Bordeaux,Email,3.3,116,Printemps,574.44,566.37,1
220,2024-12-31,Électronique,286.59,1,38,M,Nice,SEO,3.3,62,Printemps,262.77,239.53,0
221,2024-12-31,Mode,98.7,4,42,M,Marseille,Instagram,5.0,57,Printemps,396.75,372.17,1
222,2024-12-31,Mode,103.2,2,38,F,Lyon,Facebook,2.5,65,Printemps,198.41,196.29,0
223,2024-12-31,Électronique,876.4,2,47,M,Nice,Google_Ads,3.7,160,Printemps,1602.51,1444.0,1
224,2024-12-31,Mode,57.89,3,29,F,Bordeaux,Email,4.2,97,Printemps,163.19,157.31,1
225,2024-12-31,Mode,34.3,1,47,M,Lyon,Instagram,2.7,78,Printemps,35.11,33.83,0
226,2024-12-31,Électronique,593.29,6,48,M,Bordeaux,Email,4.3,174,Printemps,3275.92,3240.78,1
227,2024-12-31,Maison,187.22,4,47,M,Lyon,SEO,3.4,45,Printemps,687.1,672.53,1
228,2024-12-31,Sport,143.28,1,27,M,Lille,SEO,4.2,59,Printemps,156.0,150.12,0
229,2024-12-31,Électronique,355.77,2,32,M,Lyon,Email,3.7,98,Printemps,655.69,619.94,1
230,2024-12-31,Maison,107.12,2,37,M,Lille,Facebook,1.5,68,Printemps,208.92,185.14,0
231,2024-12-31,Maison,152.27,1,18,M,Nice,SEO,5.0,85,Printemps,141.1,134.13,0
232,2024-12-31,Mode,64.73,1,54,M,Paris,Facebook,5.0,191,Printemps,70.42,62.78,0
233,2024-12-31,Maison,214.89,1,34,M,Lyon,Google_Ads,3.6,31,Printemps,214.08,196.1,0
234,2024-12-31,Mode,78.69,3,38,M,Paris,Google_Ads,2.8,44,Printemps,217.71,208.23,0
235,2024-12-31,Mode,110.46,1,28,M,Marseille,Email,5.0,142,Printemps,116.4,110.72,0
236,2024-12-31,Électronique,616.92,1,19,F,Nantes,Facebook,5.0,77,Printemps,651.56,593.04,1
237,2024-12-31,Maison,199.16,2,27,F,Nantes,Email,3.6,295,Printemps,430.27,377.52,1
238,2024-12-31,Maison,119.88,2,37,M,Lille,Facebook,3.6,173,Printemps,249.62,230.31,1
239,2024-12-31,Électronique,786.21,1,43,F,Nice,Facebook,3.7,69,Printemps,716.19,637.76,1
240,2024-12-31,Mode,59.27,2,36,M,Nice,Google_Ads,2.0,105,Printemps,119.73,106.36,0
241,2024-12-31,Livres,23.74,1,39,F,Lyon,Instagram,3.5,119,Printemps,23.19,20.85,0
242,2024-12-31,Mode,53.37,2,30,F,Nantes,SEO,5.0,232,Printemps,112.04,107.1,1
243,2024-12-31,Mode,78.86,1,40,M,Paris,Instagram,3.6,76,Printemps,80.3,74.24,0
244,2024-12-31,Livres,17.59,3,52,M,Nantes,Facebook,2.7,58,Printemps,55.15,49.96,0
245,2024-12-31,Maison,108.01,3,43,F,Nantes,SEO,4.3,122,Printemps,303.31,298.79,1
246,2024-12-31,Maison,234.06,2,44,M,Bordeaux,SEO,3.1,73,Printemps,462.22,441.89,1
247,2024-12-31,Sport,62.91,4,38,M,Nantes,Instagram,3.7,134,Printemps,248.22,229.41,0
248,2024-12-31,Sport,142.88,1,18,F,Paris,SEO,2.4,169,Printemps,156.63,143.03,0
249,2024-12-31,Mode,128.46,1,22,F,Nantes,Google_Ads,2.7,47,Printemps,116.1,112.95,0
250,2024-12-31,Mode,34.44,1,40,F,Lyon,Instagram,4.6,65,Printemps,36.62,32.07,0
251,2024-12-31,Mode,100.66,1,34,F,Nantes,SEO,3.9,185,Printemps,92.54,87.88,1
252,2024-12-31,Livres,15.83,1,40,F,Marseille,Google_Ads,2.9,83,Printemps,14.5,12.37,0
253,2024-12-31,Maison,67.29,1,55,F,Nantes,Google_Ads,3.9,94,Printemps,64.98,55.3,0
254,2024-12-31,Électronique,496.95,2,43,F,Lille,SEO,3.1,155,Printemps,1033.81,1023.23,1
